,eav_id,title,subtitle,n_rooms,n_bedrooms,n_bathrooms,useful_area,built_area,land_area,price,built_year,energy_class,energy_consumption,co2_emission,co2_emission_scale,protected,status,parking,garage,floor_cover,property_subclass,terrace_area,heating_type,location_status
867,W-02QN3U,EXCLUSIVA CASA EN EL CENTRO DE MANRESA,"Casa, Comprar | España, Barcelona, Bagés- Manresa, MANRESA",4,4,5,446 m²,446 m²,184 m²,780.000 EUR,1990,D,107 kWh/(m²*a),18 kg/m²,C,False,Excelente,3,3,,Casa unifamiliar,,,Excelente
868,W-02NE5Z,IMPONENTE PISO EN FINCA RESTAURADA,"Apartamento, Comprar | España, Barcelona, Ciutat Vella, raval",3,3,2,171 m²,171 m²,,780.000 EUR,1900,E,127 kWh/(m²*a),26 kg/m²,E,True,Excelente,,,,Apartamento,13 m²,,Excelente
869,W-02NCSM,MAGNÍFICA CASA CON ASCENSOR EN ARGENTONA,"Casa, Comprar | España, Barcelona, Maresme, ARGENTONA",5,5,4,355 m²,355 m²,589 m²,780.000 EUR,2003,,,,,False,Muy bien,5,5,,Casa unifamiliar,,,Muy bien
870,W-02I5J6,PISO REFORMADO EN SANT GERVASI BONANOVA,"Apartamento, Comprar | España, Barcelona, Sant Gervasi, Bonanova",3,3,2,153 m²,153 m²,,780.000 EUR,1957,B,21 kWh/(m²*a),6 kg/m²,B,False,,,,,Apartamento,21 m²,,
871,W-02RQ0O,PRECIOSA CASA CON TERRAZA Y PARKING EN PLAZA ESPAÑA,"Casa, Comprar | España, Barcelona, Sants - Montjuïc, Hostafrancs",3,3,2,165 m²,165 m²,,779.000 EUR,2015,,,,,False,Muy bien,2,,,Casa,47 m²,,Excelente
872,W-02PX49,UNIFAMILIAR DE OBRA NUEVA EN EL CENTRO,"Casa, Comprar | España, Barcelona, Maresme, Teià",4,4,2,278 m²,278 m²,400 m²,779.000 EUR,2023,,,,,False,Excelente,3,3,,Casa unifamiliar,,,Excelente
873,W-02PX48,UNIFAMILIAR DE OBRA NUEVA EN EL CENTRO,"Casa, Comprar | España, Barcelona, Maresme, Teià",4,4,3,278 m²,278 m²,400 m²,779.000 EUR,2023,,,,,False,Excelente,3,3,,Casa unifamiliar,,,Excelente
874,W-02RKA5,ESPECTACULAR SOBREATICO CON UNA TERRAZA DE 32M2,"Apartamento, Comprar | España, Barcelona, Sants - Montjuïc, SantS",2,2,2,125 m²,125 m²,,778.000 EUR,1970,D,199 kWh/(m²*a),41 kg/m²,E,False,Excelente,,,,Loft / Ático,32 m²,,
875,W-02LAES,INCREÍBLE OBRA NUEVA CON PISCINA EN PEDRALBES,"Apartamento, Comprar | España, Barcelona, Pedralbes, Pedralbes",2,2,2,108 m²,108 m²,,776.600 EUR,2017,A,25 kWh/(m²*a),5 kg/m²,A,False,Excelente,2,2,,Apartamento,19 m²,,Excelente
876,W-02EOL4,PISO DE OBRA NUEVA CON PISCINA CERCA DEL HOSPITAL SANT JOAN DE DEU,"Apartamento, Comprar | España, Barcelona, Sant Just - Esplugues, Esplugues - Finestrelles",2,2,2,108 m²,108 m²,,776.500 EUR,2017,A,,,,False,Excelente,2,2,,Apartamento,19 m²,,Excelente
877,W-02RGHC,EXCLUSIVA PROMOCION EN SAGRADA FAMILIA,"Apartamento, Comprar | España, Barcelona, Eixample, Sagrada Familia",3,3,2,109 m²,109 m²,,775.000 EUR,2024,APLUSPLUS,25 kWh/(m²*a),4 kg/m²,A,False,Excelente,,,,Apartamento,11 m²,,Excelente
878,W-02Q4V8,BONITO PISO A ESTRENAR AL LADO DE PLAÇA DEL PI,"Apartamento, Comprar | España, Barcelona, Ciutat Vella, Gòtic",3,3,2,120 m²,120 m²,,775.000 EUR,1850,E,164 kWh/(m²*a),34 kg/m²,E,False,Excelente,,,,Apartamento,,,Excelente
879,W-02P1WB,CASA UNIFAMILIAR DELUXE EN ARGENTONA,"Casa, Comprar | España, Barcelona, Maresme, ARGENTONA",4,4,4,633 m²,633 m²,4.700 m²,775.000 EUR,2009,E,211 kWh/(m²*a),37 kg/m²,E,False,Excelente,5,5,,Casa unifamiliar,,,Excelente
880,W-02NBH8,LUMINOSO PISO EN VENTA EN DIAGONAL MAR,"Apartamento, Comprar | España, Barcelona, SANT MARTIN, Diagonal Mar i El Front Marítim del Poblenou",2,2,2,92 m²,92 m²,,775.000 EUR,2003,D,71 kWh/(m²*a),15 kg/m²,D,False,,1,,,Apartamento,18 m²,,Excelente
881,W-02GIBR,MASIA DEL S.XIII CON CABALLERIZAS: RESTAURADA Y REFORMADA CON EXQUISITEZ.,"Casa, Comprar | España, Barcelona, Bagés- Manresa, Artés- Avinyó- Sant Feliu Saserra",12,12,6,1.085 m²,1.085 m²,"4,62 ha",775.000 EUR,1250,E,176 kWh/(m²*a),46 kg/m²,E,True,Muy bien,10,,,Finca,,,Bien
882,W-0269L3,UNIFAMILIAR EN SOLAR URBANO. EDIFICABILIDAD: 450M²,"Casa, Comprar | España, Barcelona, Sant Just - Esplugues, Sant Just Desvern",,3,1,108 m²,120 m²,665 m²,775.000 EUR,1966,,,,,False,Necesita restauración,1,1,,Casa unifamiliar,35 m²,,Muy bien
883,D-000HMW,NUEVA PROMOCIÓN EN RAMBLA CATALUNYA,"Obra nueva, Comprar | España, Barcelona, Eixample, Eixample Esquerra", desde 1,desde 1, desde 1,desde 61 m²,,,desde 770.000 EUR,,,,,,False,,,,,,,,
884,W-02QIUC,PISO DE UNA HABITACIÓN EN RAMBLA CATALUNYA,"Apartamento, Comprar | España, Barcelona, Eixample, Eixample Esquerra",1,1,1,61 m²,61 m²,,770.000 EUR,1880,B,39 kWh/(m²*a),6 kg/m²,B,False,Excelente,,,,Apartamento,,,Excelente
885,W-02NEJU,ENCANTADOR PISO EN PASSEIG DE GRÀCIA,"Apartamento, Comprar | España, Barcelona, Eixample, Eixample Dreta",1,1,1,78 m²,78 m²,,770.000 EUR,2006,C,49 kWh/(m²*a),9 kg/m²,B,False,Excelente,,,,Apartamento,,,Excelente
886,W-02IAJ7,LUMINOSO PISO CON TERRAZA EN BORN,"Apartamento, Comprar | España, Barcelona, Ciutat Vella, Born-Ribera",3,3,2,194 m²,194 m²,,770.000 EUR,1850,E,126 kWh/(m²*a),26 kg/m²,E,True,Muy bien,,,,Apartamento,35 m²,,Excelente
887,W-02DRZ5,ATICO EN EL GOTICO,"Apartamento, Comprar | España, Barcelona, Ciutat Vella, Gòtic",3,3,2,101 m²,101 m²,,770.000 EUR,1900,F,218 kWh/(m²*a),,E,False,Excelente,,,,Apartamento,"72,16 m²",,Excelente
888,W-0250DH,PRECIOSO APARTAMENTO CON TERRAZA EN EL PASEO DE GRACIA,"Apartamento, Comprar | España, Barcelona, Eixample, Eixample Dreta",1,1,1,85 m²,85 m²,,770.000 EUR,,D,,,,False,Necesita restauración,,,,Apartamento,20 m²,,
889,W-02RBK3,EXCLUSIVA PROMOCIÓN EN SAGRADA FAMÍLIA,"Apartamento, Comprar | España, Barcelona, Eixample, Sagrada Familia",3,3,2,104 m²,104 m²,,767.000 EUR,2024,APLUSPLUS,25 kWh/(m²*a),4 kg/m²,A,False,Excelente,,,,Apartamento,5 m²,,Excelente
890,W-02RFXB,EXCLUSIVO ÁTICO CON TERRAZA A NIVEL Y VISTAS,"Apartamento, Comprar | España, Barcelona, SANT MARTIN, El Poblenou",2,2,1,94 m²,94 m²,,765.000 EUR,1967,E,167 kWh/(m²*a),35 kg/m²,E,False,Muy bien,,,,Apartamento,"36,86 m²",,Excelente
